,anger,joy,disgust,sadness,surprise,anticipation,positive,fear,trust,negative,valid_tweet_count
myrna99.csv,0.01646068814869006,0.03927323016393168,0.006995547300570491,0.019048676753082732,0.01266838473928715,0.0343847914196657,0.06855451957336453,0.012767515878170162,0.037501369938581434,0.0271446098488055,940.0
KBDeSalvo.csv,0.006907286285178602,0.04013400062437664,0.004092648624292317,0.006868818318461085,0.017768262981770123,0.04873649440148813,0.10163740665929741,0.0117797721269257,0.051740775652941794,0.015300027100348102,1659.0
HTracyDavido.csv,0.012905500054731185,0.05117900329952601,0.01110506307221153,0.017859655700781216,0.025266401350997333,0.03718188656535835,0.09258312388536846,0.022819706418970586,0.04461273675080742,0.0346743726601014,2588.0
CenterdinOaklnd.csv,0.003442994593060079,0.05861337081606048,0.0012388692170336602,0.0034190547815815685,0.03897867501154731,0.0443565624477003,0.0866081133803281,0.00330802200696818,0.05157800644322759,0.009227193301161875,5200.0
satyanadella.csv,0.00669920217778521,0.03213462538446519,0.003079993013026125,0.004041993251177029,0.013125616598839722,0.03467330707788042,0.08608716811585453,0.009186074166332495,0.03853250814904119,0.00999547354875037,692.0
jeffrreyford.csv,0.030634060277602477,0.04853162839575882,0.009903381642512078,0.025087915601023015,0.04051316738816738,0.07334780486634707,0.08805261465587554,0.027080669224211422,0.056207376560637436,0.04313406027760248,20.0
CarolynRife.csv,0.0071187881077413315,0.03382770032654706,0.0027512567898762092,0.004942983286349331,0.00820873518992373,0.02059322622107713,0.040584200850504334,0.007809883535669733,0.015079459105449687,0.01353237354450694,737.0
bexsmith2303.csv,0.012419471488193511,0.023662479268035733,0.008982076375289066,0.02236504199195543,0.009809063867560057,0.03604341977279303,0.049108340210142425,0.01534565199821149,0.03187854606811607,0.03071003035206049,176.0
VivianaLongo.csv,0.004714111922141119,0.01551094890510949,0.005079075425790754,0.004592457420924574,0.004562043795620438,0.01551094890510949,0.02162505310315529,0.004714111922141119,0.01676225234619395,0.0049574209245742094,274.0
HanninenRaija.csv,0.0016722408026755855,0.0410097149227584,0.0016722408026755855,0.0016722408026755855,0.0018115942028985505,0.01927058448797579,0.04616579073100812,0.003344481605351171,0.012267322049930746,0.005156075808249721,92.0
JoshPickett22_.csv,0.017948363127074828,0.043711054001706,0.021109878228888438,0.021658605643287494,0.01963195659189375,0.05224830921021023,0.0674957090118127,0.021585482249268578,0.06028846557126211,0.040426582080156315,67.0
sabema11_.csv,0.027698236208446362,0.03615727192510149,0.02685578961620904,0.02491888210665367,0.026227546583434125,0.03666129849481046,0.0681608979861284,0.02619664701643918,0.04859698276350654,0.05659109021098937,6403.0
msteGeorge_.csv,0.00577904115212475,0.030341809870595333,0.0043825868837887435,0.007910013113776536,0.013884886432083786,0.03816460432480714,0.07266897429580114,0.007694105837116592,0.037447427591907494,0.013264017102637514,573.0
amandasilveir.csv,0.011632386805868181,0.060124059499359686,0.010658330743636866,0.008321757687883447,0.03133775924056959,0.05284101039095293,0.09492915819264293,0.011466416710224766,0.08102229212876959,0.04173866600153695,232.0
courageousgirl2_.csv,0.03956331169052479,0.023208457815125736,0.029740142804979715,0.022919756354114165,0.02569016178688584,0.023278693298759288,0.05234379894339272,0.061445517550522306,0.04614326628539495,0.08498882639939201,6220.0
ysik696_yesica.csv,0.02443722587074046,0.060172160870381255,0.0007002801120448179,0.0018207282913165266,0.024997449960376315,0.041558013579763436,0.08213761371818704,0.010317460317460319,0.0744228611504933,0.0037687802393684745,119.0
