,count,ttlLen,list-1-w,list-1-f,list-2-w,list-2-f,list-3-w,list-3-f,list-4-w,list-4-f,list-5-w,list-5-f,list-6-w,list-6-f,list-7-w,list-7-f,list-8-w,list-8-f,list-9-w,list-9-f,list-10-w,list-10-f
myrna99.csv,940,9301,limited,0.004623158800129018,next,0.0036555209117299214,happy,0.0027953983442640575,other,0.0027953983442640575,good,0.0017202451349317277,’,0.0017202451349317277,sorry,0.0012901838511987958,great,0.0010751532093323298,cute,0.0008601225674658639,best,0.0007526072465326309
KBDeSalvo.csv,1659,22665,great,0.006441650121332451,public,0.0030443414956982133,happy,0.0019413192146481358,such,0.0018530774321641296,more,0.0015883520847121111,good,0.0013236267372600927,new,0.0012795058460180896,impoant,0.0012353849547760865,proud,0.0011912640635340834,social,0.0010589013898080742
HTracyDavido.csv,2588,28595,great,0.0032173456898059102,orite,0.0017485574401119076,marvelous,0.001363874803287288,fantastic,0.0012939325056828116,good,0.0012589613568805736,fabulous,0.0012589613568805736,next,0.0011190767616716208,beautiful,0.0011190767616716208,true,0.0010491344640671447,more,0.0010141633152649064
CenterdinOaklnd.csv,5200,90502,italian,0.003602130339661002,fine,0.003524783982674416,personal,0.003524783982674416,*,0.0017789662106914765,non-invasive,0.0017789662106914765,one-year,0.0014585313031756203,share-a-little,0.001325937548341473,good,0.0010938984773817154,1-hour,0.000961304722547568,on-the-road,0.0009060573247000066
satyanadella.csv,692,14512,new,0.0050992282249173095,more,0.0026874310915104742,great,0.0025496141124586548,re,0.002205071664829107,many,0.0015848952590959205,digital,0.001515986769570011,incredible,0.001515986769570011,powerful,0.001171444321940463,next,0.001033627342888644,intelligent,0.001033627342888644
jeffrreyford.csv,20,343,’,0.011661807580174927,good,0.0058309037900874635,real,0.0029154518950437317,wealthy,0.0029154518950437317,average,0.0029154518950437317,white,0.0029154518950437317,wasn,0.0029154518950437317,slavery,0.0029154518950437317,own,0.0029154518950437317,more,0.0029154518950437317
CarolynRife.csv,737,11545,new,0.005283672585534863,little,0.0035513209181463837,much,0.002685145084452144,such,0.001818969250757904,last,0.0017323516673884798,orite,0.001472498917280208,old,0.0013858813339107838,beautiful,0.00129926375054136,special,0.0011260285838025118,gorgeous,0.0009527934170636639
bexsmith2303.csv,176,2562,late,0.00663544106167057,next,0.0039032006245121,due,0.00273224043715847,good,0.00234192037470726,stop,0.00234192037470726,usual,0.00195160031225605,great,0.00195160031225605,new,0.00156128024980484,last,0.00117096018735363,many,0.00117096018735363
VivianaLongo.csv,274,3126,que,0.007037747920665387,una,0.006397952655150352,un,0.006397952655150352,se,0.0025591810620601407,ningún,0.0012795905310300703,los,0.0012795905310300703,con,0.0012795905310300703,nos,0.0012795905310300703,alguien,0.0006397952655150352,puede,0.0006397952655150352
HanninenRaija.csv,92,810,nyt,0.0024691358024691358,uudella,0.0024691358024691358,mahdollisuus,0.0024691358024691358,harrastaa,0.0024691358024691358,e-urheilua,0.0024691358024691358,pelaajana,0.0024691358024691358,asiantuntevien,0.0024691358024691358,e-urheiluvalmentajien,0.0024691358024691358,edut,0.0024691358024691358,gorgeous,0.0024691358024691358
JoshPickett22_.csv,67,825,bad,0.0024242424242424242,best,0.0024242424242424242,new,0.0024242424242424242,re,0.0024242424242424242,great,0.0024242424242424242,greatest,0.0024242424242424242,ve,0.0012121212121212121,long,0.0012121212121212121,french,0.0012121212121212121,mediocre,0.0012121212121212121
sabema11_.csv,6403,115225,’,0.003931438489911044,good,0.0021609893686266,re,0.001917986548058147,more,0.0010414406595790843,great,0.000937296593621176,same,0.0008157951833369495,single,0.0007984378390106314,much,0.0007897591668474724,right,0.0007810804946843133,other,0.0007724018225211543
msteGeorge_.csv,573,7511,great,0.004393556117694049,good,0.0030621754759685795,more,0.00173079483424311,many,0.0014645187058980162,next,0.0011982425775529223,other,0.0011982425775529223,cool,0.0010651045133803754,new,0.0010651045133803754,ready,0.0009319664492078285,wonderful,0.0009319664492078285
amandasilveir.csv,232,4173,white,0.011742151929067817,yellow,0.011262880421758926,free,0.007428708363287803,secret,0.006470165348670022,new,0.002875629043853343,jobless,0.0023963575365444525,",673/month",0.0023963575365444525,special,0.0023963575365444525,fine,0.0014378145219266715,many,0.0014378145219266715
courageousgirl2_.csv,6220,68017,russian,0.00407251128394372,legitimate,0.0017495626093476631,global,0.0010438566828881014,’,0.0010438566828881014,more,0.0009262390284781746,successful,0.0008674302012732111,many,0.000779216960465766,criminal,0.0007351103400620433,right,0.0005292794448446712,good,0.0005292794448446712
ysik696_yesica.csv,119,896,first,0.002232142857142857,other,0.002232142857142857,secure,0.0011160714285714285,suppo,0.0011160714285714285,progressive,0.0011160714285714285,much,0.0011160714285714285,little,0.0011160714285714285,salimos,0.0011160714285714285,hot,0.0011160714285714285,ayuda,0.0011160714285714285
TheBagLadyBaySt.csv,920,10568,’,0.005204390613171839,great,0.0035011355034065103,best,0.0027441332323996973,brilliant,0.0027441332323996973,good,0.002365632096896291,last,0.0017032551097653293,such,0.001514004542013626,more,0.0011355034065102195,…,0.001040878122634368,better,0.001040878122634368
bootleg55_.csv,124,1439,great,0.004169562195969423,good,0.002779708130646282,new,0.002779708130646282,awesome,0.0020847810979847115,wrong,0.001389854065323141,big,0.001389854065323141,ignorant,0.001389854065323141,next,0.001389854065323141,infectious,0.0006949270326615705,impoant,0.0006949270326615705
sventennis.csv,8407,121968,great,0.003968253968253968,good,0.0019185360094451003,best,0.0018693427784336875,new,0.0017053653417289782,more,0.0016233766233766235,happy,0.0011150465695920241,sure,0.0010986488259215532,other,0.0010658533385806113,next,0.0010330578512396695,many,0.000992063492063492
