,count,ttlLen,list-1-w,list-1-f,list-2-w,list-2-f,list-3-w,list-3-f,list-4-w,list-4-f,list-5-w,list-5-f,list-6-w,list-6-f,list-7-w,list-7-f,list-8-w,list-8-f,list-9-w,list-9-f,list-10-w,list-10-f
TeeliaLowery.csv,1194,8079,new_JJ,0.003713330857779428,southern_JJ,0.003589553162520114,black_JJ,0.003218220076742171,high_JJ,0.003218220076742171,happy_JJ,0.002846886990964228,live_JJ,0.0025993316004456,great_JJ,0.0025993316004456,first_JJ,0.0022279985146676567,national_JJ,0.0019804431241490284,american_JJ,0.0019804431241490284
Christi78790.csv,347,2909,ive_JJ,0.004125128910278446,different_JJ,0.0034376074252320385,much_JJ,0.0034376074252320385,good_JJ,0.0030938466827088347,nyc_JJ,0.0024063251976624267,cant_JJ,0.0024063251976624267,real_JJ,0.0024063251976624267,true_JJ,0.0024063251976624267,dont_JJ,0.0024063251976624267,many_JJ,0.0024063251976624267
normanllamas.csv,269,3261,great_JJ,0.004906470407850353,total_JJ,0.004599816007359705,many_JJ,0.0036798528058877645,new_JJ,0.0036798528058877645,positive_JJ,0.0036798528058877645,current_JJ,0.0036798528058877645,april_JJ,0.0027598896044158236,english_JJ,0.0027598896044158236,last_JJ,0.0027598896044158236,italy_JJ,0.0027598896044158236
WVPapiX3.csv,2759,22517,great_JJ,0.005506950304214594,liberal_JJ,0.0042634453968112985,catholic_JJ,0.00421903450726118,good_JJ,0.0030643513789581204,best_JJS,0.0025314207043567083,true_JJ,0.0025314207043567083,military_JJ,0.002442598925256473,many_JJ,0.0023981880357063553,pete_JJ,0.0021317226984056492,right_JJ,0.0021317226984056492
SNAFU_Sara.csv,19920,162186,good_JJ,0.004772298472124598,much_JJ,0.0025032986817604477,last_JJ,0.002312160112463468,bad_JJ,0.002207342187365124,new_JJ,0.0021086900225666828,sure_JJ,0.001973043295968826,right_JJ,0.0018435623296708717,old_JJ,0.00172024712367282,great_JJ,0.001646258000073989,many_JJ,0.0014304563895773989
Meastt23.csv,1645,9505,good_JJ,0.006838506049447659,new_JJ,0.00241977906365071,last_JJ,0.0023145712782745922,big_JJ,0.0023145712782745922,old_JJ,0.0023145712782745922,real_JJ,0.0021041557075223566,many_JJ,0.0019989479221462388,sure_JJ,0.001893740136770121,great_JJ,0.001788532351394003,hard_JJ,0.001788532351394003
VyceVictus.csv,400,4946,good_JJ,0.003639304488475536,new_JJ,0.003639304488475536,big_JJ,0.0028305701577031944,black_JJ,0.0026283865750101093,white_JJ,0.002426202992317024,great_JJ,0.0022240194096239383,military_JJ,0.0020218358269308533,real_JJ,0.0020218358269308533,best_JJS,0.0020218358269308533,dont_JJ,0.001819652244237768
dsdelamater.csv,167,1498,good_JJ,0.004672897196261682,cant_JJ,0.0033377837116154874,grad_JJ,0.0033377837116154874,ive_JJ,0.0026702269692923898,happy_JJ,0.0026702269692923898,orite_JJ,0.0026702269692923898,least_JJS,0.0020026702269692926,valuable_JJ,0.0020026702269692926,dental_JJ,0.0020026702269692926,positive_JJ,0.0020026702269692926
HouseDivaJill.csv,2093,10598,military_JJ,0.005567088129835818,bah_JJ,0.0035855821853179844,dualmilitary_JJ,0.0035855821853179844,happy_JJ,0.0030194376297414606,great_JJ,0.002642007926023778,white_JJ,0.002453293074164937,little_JJ,0.0019815059445178335,best_JJS,0.0016984336667295716,dual_JJ,0.0016984336667295716,good_JJ,0.001604076240800151
zack_kreish.csv,150,1407,great_JJ,0.008528784648187633,best_JJS,0.006396588486140725,happy_JJ,0.006396588486140725,proud_JJ,0.0042643923240938165,honor_JJ,0.0042643923240938165,busy_JJ,0.0042643923240938165,sta_JJ,0.0042643923240938165,successful_JJ,0.0042643923240938165,orite_JJ,0.0042643923240938165,tough_JJ,0.0042643923240938165
missleatha3.csv,3880,36517,good_JJ,0.002902757619738752,dont_JJ,0.002574143549579648,true_JJ,0.002491990032039872,many_JJ,0.00232768299696032,great_JJ,0.0020538379384944,real_JJ,0.0019990689268012157,bad_JJ,0.0019169154092614398,much_JJ,0.0019169154092614398,sure_JJ,0.0018347618917216638,white_JJ,0.00164307035079552
OldParaTRP.csv,5393,56519,many_JJ,0.0033617013747589304,good_JJ,0.002724747430067765,military_JJ,0.002636281604416214,great_JJ,0.0018931686689431873,old_JJ,0.0018931686689431873,last_JJ,0.001875475503812877,much_JJ,0.0018047028432916364,sure_JJ,0.0017162370176400856,american_JJ,0.0013977600452945028,foreign_JJ,0.0013800668801641925
PatrioticCPT.csv,621,7033,many_JJ,0.003270297170482013,good_JJ,0.0031281103369827953,military_JJ,0.0029859235034835774,sure_JJ,0.0027015498364851413,right_JJ,0.0022749893359874877,great_JJ,0.00213280250248827,wrong_JJ,0.00213280250248827,much_JJ,0.0019906156689890515,russian_JJ,0.0019906156689890515,able_JJ,0.0017062420019906157
E_Young_56.csv,1320,7779,great_JJ,0.021210952564596992,good_JJ,0.010798303123794832,big_JJ,0.008484381025838797,happy_JJ,0.006556112610875434,navy_JJ,0.005784805244890089,horrible_JJ,0.005013497878904744,nice_JJ,0.0038565368299267257,best_JJS,0.003470883146934053,bad_JJ,0.003470883146934053,unbelievable_JJ,0.003470883146934053
ToddTannerWV.csv,1298,10081,good_JJ,0.006249380021823232,happy_JJ,0.005257414938994147,best_JJS,0.004563039381013789,dont_JJ,0.00446384287273088,bad_JJ,0.0037694673147505207,smile_JJ,0.0036702708064676125,god_JJ,0.003372681281618887,live_JJ,0.0032734847733359787,strong_JJ,0.00317428826505307,better_JJR,0.0029758952484872534
thejamiekaiser.csv,9683,65323,new_JJ,0.005740703886839245,real_JJ,0.0030617087396475973,public_JJ,0.0025871438850022196,good_JJ,0.0024340584480198398,great_JJ,0.0020819619429603663,american_JJ,0.0018370252437885583,best_JJS,0.0017604825252973684,national_JJ,0.0016686312631079404,minnesota_JJ,0.0016227056320132266,environmental_JJ,0.0015920885446167505
OSUfan_2.csv,330,2200,great_JJ,0.014545454545454545,good_JJ,0.009545454545454546,last_JJ,0.004545454545454545,much_JJ,0.004090909090909091,sad_JJ,0.0036363636363636364,nice_JJ,0.0036363636363636364,new_JJ,0.003181818181818182,want_JJ,0.0027272727272727275,doesnt_JJ,0.0022727272727272726,logan_JJ,0.0022727272727272726
