,disgust,trust,surprise,fear,sadness,joy,negative,anticipation,anger,positive,valid_tweet_count
OSUfan_2.csv,0.0032789235358405317,0.04295658774786822,0.022644212656909753,0.013850363188326597,0.013610998187959201,0.05930233876563716,0.017113389790126922,0.04336038598293741,0.0078116791071205305,0.08266876660786761,330.0
3sixtyTax.csv,0.022334597227817478,0.04921228236764407,0.015037797824353735,0.028866182380278813,0.026154438092123432,0.02795372949334805,0.0585193988551734,0.02740415918209519,0.026847878893584805,0.06735836249286625,1419.0
EthanMilich.csv,0.004317813022179771,0.020124867047201515,0.007302872801836651,0.006712436282121401,0.008054348207614482,0.012025751375640015,0.01595320221236734,0.011256041904056255,0.007872462571782906,0.029841448713572943,879.0
C38557143.csv,0.01173968814539372,0.05624782018358376,0.020851126407449547,0.017555415261555005,0.013707552292848217,0.051058140682965276,0.026847019510839672,0.03018164772400682,0.01223720339673187,0.07818463259574515,812.0
BobVitale.csv,0.02596954203547794,0.04985566880007882,0.022080331684973784,0.02356582847822805,0.024860568502437588,0.031178044625365126,0.06276863396278494,0.03192620354581429,0.029266769390311725,0.07212996300660925,7011.0
TheDarkRabbit.csv,0.010486435668447834,0.034116626236164814,0.013951869070013981,0.01491778529935874,0.012256297223551814,0.030873716031002918,0.02772077303233473,0.029408565604592967,0.012973951522712288,0.055023456234844934,17700.0
ryanenser.csv,0.004294340806812033,0.056309888620047426,0.010049245817795614,0.010571119262034447,0.0064746977760800056,0.052277603556454104,0.01202588857138523,0.04618896328419081,0.005564598975263607,0.07878003226194091,3297.0
Legewnis.csv,0.0026266369912272144,0.007641337340340264,0.002539264635162251,0.009805877193569446,0.0021592248069290465,0.0047901682357585325,0.011250040063862094,0.004777233123742442,0.006298648457363383,0.011455707937026903,1550.0
lilgde90.csv,0.022911381345418057,0.0342449378229024,0.012318191173323535,0.018326521258940052,0.01635714956515554,0.031267786072583736,0.04094270421002487,0.027294154699122587,0.02624067306123878,0.05373950177913926,9821.0
BigFox57.csv,0.004191640185145374,0.010075649022024347,0.003781796953604665,0.006125394078173678,0.004997423533411976,0.006024648109761584,0.0124780233523013,0.007897696930650146,0.0058120849805459295,0.013534405687665476,953.0
gemluvr257.csv,0.02054708727323301,0.04373006726082356,0.02141166941147319,0.02709450922940165,0.020119089663659044,0.030357041425095044,0.0482786190858485,0.027489880366620117,0.023937061757558886,0.057303282972099044,18545.0
RobertLarkin3.csv,0.00694835092497447,0.034017591967952496,0.021242297046612183,0.014421052010258518,0.011516032831379844,0.026851670115963035,0.024899223347476657,0.029348136852537485,0.013973478855142205,0.0515458580044348,408.0
cheyyenne.csv,0.014756962945549443,0.042662027144606596,0.01615937630479634,0.025179522807457874,0.01741795884870959,0.03969087749483333,0.03430316688220626,0.031859253275846176,0.017920337539008784,0.062477647179409145,4025.0
ill.csv,0.0009263833992094862,0.011236834572432398,0.007671826965305227,0.006439393939393939,0.004889245718050065,0.008033067476002258,0.007911736512279992,0.009295625871712829,0.006542325428194994,0.016777930704561135,368.0
